dictionary_type,surface,canonical,pinyin,tone_pinyin,weight,target_boost,domain_id,is_alias,single_char_role,ime_layer,frequency_rank,source
base_dictionary,一,一,yi,yi1,0.12,0,,0,content_single_char,single_char,1,common-standard-level-1+pinyin-data
base_dictionary,乙,乙,yi,yi3,0.12,0,,0,content_single_char,single_char,2,common-standard-level-1+pinyin-data
base_dictionary,二,二,er,er4,0.12,0,,0,content_single_char,single_char,3,common-standard-level-1+pinyin-data
base_dictionary,十,十,shi,shi2,0.12,0,,0,content_single_char,single_char,4,common-standard-level-1+pinyin-data
base_dictionary,丁,丁,ding,ding1,0.12,0,,0,content_single_char,single_char,5,common-standard-level-1+pinyin-data
base_dictionary,厂,厂,chang,chang3,0.12,0,,0,content_single_char,single_char,6,common-standard-level-1+pinyin-data
base_dictionary,七,七,qi,qi1,0.12,0,,0,content_single_char,single_char,7,common-standard-level-1+pinyin-data
base_dictionary,卜,卜,bo,bo,0.12,0,,0,content_single_char,single_char,8,common-standard-level-1+pinyin-data
base_dictionary,八,八,ba,ba1,0.12,0,,0,content_single_char,single_char,9,common-standard-level-1+pinyin-data
base_dictionary,人,人,ren,ren2,0.14,0,,0,service_content_single_char,single_char,10,common-standard-level-1+pinyin-data
base_dictionary,入,入,ru,ru4,0.12,0,,0,content_single_char,single_char,11,common-standard-level-1+pinyin-data
base_dictionary,儿,儿,er,er2,0.12,0,,0,content_single_char,single_char,12,common-standard-level-1+pinyin-data
base_dictionary,匕,匕,bi,bi3,0.12,0,,0,content_single_char,single_char,13,common-standard-level-1+pinyin-data
base_dictionary,几,几,ji,ji3,0.12,0,,0,content_single_char,single_char,14,common-standard-level-1+pinyin-data
base_dictionary,九,九,jiu,jiu3,0.12,0,,0,content_single_char,single_char,15,common-standard-level-1+pinyin-data
base_dictionary,刁,刁,diao,diao1,0.12,0,,0,content_single_char,single_char,16,common-standard-level-1+pinyin-data
base_dictionary,了,了,le,le,0.30,0,,0,function_single_char,single_char,17,common-standard-level-1+pinyin-data
base_dictionary,刀,刀,dao,dao1,0.12,0,,0,content_single_char,single_char,18,common-standard-level-1+pinyin-data
base_dictionary,力,力,li,li4,0.12,0,,0,content_single_char,single_char,19,common-standard-level-1+pinyin-data
base_dictionary,乃,乃,nai,nai3,0.12,0,,0,content_single_char,single_char,20,common-standard-level-1+pinyin-data
base_dictionary,又,又,you,you4,0.12,0,,0,content_single_char,single_char,21,common-standard-level-1+pinyin-data
base_dictionary,三,三,san,san1,0.12,0,,0,content_single_char,single_char,22,common-standard-level-1+pinyin-data
base_dictionary,干,干,gan,gan4,0.12,0,,0,content_single_char,single_char,23,common-standard-level-1+pinyin-data
base_dictionary,于,于,yu,yu2,0.30,0,,0,function_single_char,single_char,24,common-standard-level-1+pinyin-data
base_dictionary,亏,亏,kui,kui1,0.12,0,,0,content_single_char,single_char,25,common-standard-level-1+pinyin-data
base_dictionary,工,工,gong,gong1,0.12,0,,0,content_single_char,single_char,26,common-standard-level-1+pinyin-data
base_dictionary,土,土,tu,tu3,0.12,0,,0,content_single_char,single_char,27,common-standard-level-1+pinyin-data
base_dictionary,士,士,shi,shi4,0.12,0,,0,content_single_char,single_char,28,common-standard-level-1+pinyin-data
base_dictionary,才,才,cai,cai2,0.26,0,,0,time_single_char,single_char,29,common-standard-level-1+pinyin-data
base_dictionary,下,下,xia,xia4,0.24,0,,0,place_direction_single_char,single_char,30,common-standard-level-1+pinyin-data
base_dictionary,寸,寸,cun,cun4,0.12,0,,0,content_single_char,single_char,31,common-standard-level-1+pinyin-data
base_dictionary,大,大,da,da4,0.12,0,,0,content_single_char,single_char,32,common-standard-level-1+pinyin-data
base_dictionary,丈,丈,zhang,zhang4,0.12,0,,0,content_single_char,single_char,33,common-standard-level-1+pinyin-data
base_dictionary,与,与,yu,yu3,0.30,0,,0,function_single_char,single_char,34,common-standard-level-1+pinyin-data
base_dictionary,万,万,wan,wan4,0.12,0,,0,content_single_char,single_char,35,common-standard-level-1+pinyin-data
base_dictionary,上,上,shang,shang4,0.24,0,,0,place_direction_single_char,single_char,36,common-standard-level-1+pinyin-data
base_dictionary,小,小,xiao,xiao3,0.12,0,,0,content_single_char,single_char,37,common-standard-level-1+pinyin-data
base_dictionary,口,口,kou,kou3,0.24,0,,0,place_direction_single_char,single_char,38,common-standard-level-1+pinyin-data
base_dictionary,山,山,shan,shan1,0.14,0,,0,service_content_single_char,single_char,39,common-standard-level-1+pinyin-data
base_dictionary,巾,巾,jin,jin1,0.12,0,,0,content_single_char,single_char,40,common-standard-level-1+pinyin-data
base_dictionary,千,千,qian,qian1,0.12,0,,0,content_single_char,single_char,41,common-standard-level-1+pinyin-data
base_dictionary,乞,乞,qi,qi3,0.12,0,,0,content_single_char,single_char,42,common-standard-level-1+pinyin-data
base_dictionary,川,川,chuan,chuan1,0.12,0,,0,content_single_char,single_char,43,common-standard-level-1+pinyin-data
base_dictionary,亿,亿,yi,yi4,0.12,0,,0,content_single_char,single_char,44,common-standard-level-1+pinyin-data
base_dictionary,个,个,ge,ge4,0.22,0,,0,measure_single_char,single_char,45,common-standard-level-1+pinyin-data
base_dictionary,夕,夕,xi,xi1,0.12,0,,0,content_single_char,single_char,46,common-standard-level-1+pinyin-data
base_dictionary,久,久,jiu,jiu3,0.12,0,,0,content_single_char,single_char,47,common-standard-level-1+pinyin-data
base_dictionary,么,么,me,me,0.30,0,,0,function_single_char,single_char,48,common-standard-level-1+pinyin-data
base_dictionary,勺,勺,shao,shao2,0.12,0,,0,content_single_char,single_char,49,common-standard-level-1+pinyin-data
base_dictionary,凡,凡,fan,fan2,0.12,0,,0,content_single_char,single_char,50,common-standard-level-1+pinyin-data
base_dictionary,丸,丸,wan,wan2,0.12,0,,0,content_single_char,single_char,51,common-standard-level-1+pinyin-data
base_dictionary,及,及,ji,ji2,0.30,0,,0,function_single_char,single_char,52,common-standard-level-1+pinyin-data
base_dictionary,广,广,guang,guang3,0.12,0,,0,content_single_char,single_char,53,common-standard-level-1+pinyin-data
base_dictionary,亡,亡,wang,wang2,0.12,0,,0,content_single_char,single_char,54,common-standard-level-1+pinyin-data
base_dictionary,门,门,men,men2,0.24,0,,0,place_direction_single_char,single_char,55,common-standard-level-1+pinyin-data
base_dictionary,丫,丫,ya,ya1,0.12,0,,0,content_single_char,single_char,56,common-standard-level-1+pinyin-data
base_dictionary,义,义,yi,yi4,0.12,0,,0,content_single_char,single_char,57,common-standard-level-1+pinyin-data
base_dictionary,之,之,zhi,zhi1,0.12,0,,0,content_single_char,single_char,58,common-standard-level-1+pinyin-data
base_dictionary,尸,尸,shi,shi1,0.12,0,,0,content_single_char,single_char,59,common-standard-level-1+pinyin-data
base_dictionary,己,己,ji,ji3,0.12,0,,0,content_single_char,single_char,60,common-standard-level-1+pinyin-data
base_dictionary,已,已,yi,yi3,0.12,0,,0,content_single_char,single_char,61,common-standard-level-1+pinyin-data
base_dictionary,巳,巳,si,si4,0.12,0,,0,content_single_char,single_char,62,common-standard-level-1+pinyin-data
base_dictionary,弓,弓,gong,gong1,0.12,0,,0,content_single_char,single_char,63,common-standard-level-1+pinyin-data
base_dictionary,子,子,zi,zi,0.12,0,,0,content_single_char,single_char,64,common-standard-level-1+pinyin-data
base_dictionary,卫,卫,wei,wei4,0.12,0,,0,content_single_char,single_char,65,common-standard-level-1+pinyin-data
base_dictionary,也,也,ye,ye3,0.30,0,,0,function_single_char,single_char,66,common-standard-level-1+pinyin-data
base_dictionary,女,女,nv,nv3,0.12,0,,0,content_single_char,single_char,67,common-standard-level-1+pinyin-data
base_dictionary,刃,刃,ren,ren4,0.12,0,,0,content_single_char,single_char,68,common-standard-level-1+pinyin-data
base_dictionary,飞,飞,fei,fei1,0.12,0,,0,content_single_char,single_char,69,common-standard-level-1+pinyin-data
base_dictionary,习,习,xi,xi2,0.12,0,,0,content_single_char,single_char,70,common-standard-level-1+pinyin-data
base_dictionary,叉,叉,cha,cha1,0.12,0,,0,content_single_char,single_char,71,common-standard-level-1+pinyin-data
base_dictionary,马,马,ma,ma3,0.12,0,,0,content_single_char,single_char,72,common-standard-level-1+pinyin-data
base_dictionary,乡,乡,xiang,xiang1,0.12,0,,0,content_single_char,single_char,73,common-standard-level-1+pinyin-data
base_dictionary,丰,丰,feng,feng1,0.12,0,,0,content_single_char,single_char,74,common-standard-level-1+pinyin-data
